,Count_Videos,Sum_Comments,Sum_Dislikes,Sum_Likes,Sum_Views,Tag
172,1,0.0,0.0,4.0,6383.0,numbers
173,1,0.0,0.0,0.0,1127.0,primary school
174,1,0.0,2.0,9.0,11705.0,counting
175,1,46.0,59.0,331.0,178681.0,CAG
176,2,0.0,0.0,4.0,910.0,Christmas
177,1,3.0,10.0,8.0,8521.0,federation
178,3,2.0,2.0,7.0,8268.0,educational
179,1,4.0,3.0,9.0,4224.0,Parliament
180,4,0.0,4.0,2.0,11119.0,Gibb
181,1,0.0,0.0,4.0,2000.0,Phoenix
182,1,0.0,0.0,5.0,11380.0,Big bad wolf
183,5,0.0,0.0,0.0,773.0,1
184,1,3.0,10.0,8.0,8521.0,Docherty
185,1,0.0,0.0,2.0,1929.0,\Diana Awards\
186,3,0.0,3.0,16.0,13614.0,interview
187,1,0.0,4.0,2.0,7284.0,Twyford
188,1,6.0,2.0,7.0,1192.0,Mandarin Chinese (Human Language)
189,1,0.0,0.0,2.0,872.0,LivingstoneL
190,1,0.0,4.0,10.0,6638.0,parental
191,2,0.0,0.0,0.0,118.0,A
192,1,0.0,0.0,4.0,1737.0,technology industry
193,235,0.0,360.0,1093.0,598095.0,Department for Education
194,1,0.0,1.0,4.0,4692.0,advice
195,1,4.0,9.0,15.0,24413.0,after
196,1,0.0,4.0,10.0,6638.0,internet
197,3,0.0,10.0,11.0,7073.0,applications
198,1,0.0,2.0,7.0,2605.0,Martin
199,2,0.0,1.0,9.0,5114.0,apprenticeship
200,1,0.0,0.0,0.0,774.0,Powers
201,1,1.0,1.0,8.0,5584.0,Sally Bercow
202,3,0.0,0.0,5.0,1947.0,Eleanor
203,2,1.0,0.0,3.0,797.0,Built Environment
204,3,1.0,0.0,5.0,1643.0,helpline
205,1,0.0,0.0,3.0,1553.0,Darren Henley
206,1,0.0,0.0,2.0,611.0,Results
207,2,5.0,0.0,3.0,355.0,RSC
208,1,1.0,2.0,2.0,1678.0,Lauriston
209,1,4.0,2.0,0.0,3694.0,Nursery
210,1,0.0,1.0,4.0,4491.0,Trust
211,1,1.0,2.0,17.0,3334.0,Truss
212,2,1.0,0.0,3.0,3946.0,Pupil Premium
213,1,0.0,1.0,30.0,3897.0,level design
214,5,0.0,0.0,5.0,1017.0,birthday honours
215,2,1.0,1.0,8.0,2578.0,Primary School
216,1,0.0,0.0,2.0,5306.0,office
217,1,0.0,0.0,0.0,246.0,Author
218,3,1.0,0.0,5.0,1643.0,UCAS
219,1,3.0,10.0,8.0,8521.0,Haberdashers'
220,10,0.0,7.0,60.0,113643.0,Early Years Foundation Stage
221,3,0.0,1.0,7.0,19382.0,years
222,1,3.0,0.0,27.0,10221.0,disabled
223,2,0.0,7.0,15.0,9508.0,Childhood.
224,1,4.0,9.0,15.0,24413.0,michael gove
225,1,13.0,8.0,8.0,1734.0,through
226,2,0.0,0.0,0.0,3978.0,exemplification
227,1,8.0,3.0,26.0,12516.0,jig
228,1,1.0,1.0,6.0,1219.0,Lion King
229,1,1.0,6.0,2.0,890.0,Body Confidence
230,1,5.0,2.0,7.0,4792.0,Role-playing
231,1,0.0,0.0,0.0,223.0,Teaching Assistant
232,1,1.0,0.0,8.0,7121.0,Design And Technology (Field Of Study)
233,1,0.0,0.0,0.0,2815.0,absence
234,2,4.0,1.0,23.0,7368.0,systems
235,1,0.0,0.0,4.0,2230.0,2015
236,1,0.0,0.0,1.0,561.0,Using
237,1,3.0,10.0,8.0,8521.0,of
238,3,1.0,8.0,4.0,4527.0,2011
239,2,0.0,1.0,12.0,19628.0,munro
240,1,0.0,0.0,2.0,611.0,2012
241,28,46.0,27.0,152.0,81136.0,Matthew Hancock
242,1,2.0,0.0,0.0,722.0,Kids
243,1,0.0,0.0,0.0,28.0,hours at setting
244,1,2.0,0.0,3.0,1067.0,finance
245,1,1.0,2.0,2.0,1678.0,food
246,1,0.0,0.0,0.0,66.0,Brokenshire
247,7,0.0,13.0,32.0,39736.0,Michael
248,1,8.0,3.0,26.0,12516.0,nation
249,2,0.0,2.0,15.0,15212.0,Youth
250,24,23.0,43.0,252.0,267097.0,framework
251,1,4.0,9.0,15.0,24413.0,effects
252,1,0.0,1.0,4.0,4692.0,CANparent
253,1,4.0,3.0,9.0,4224.0,Children & Families Bill
254,1,0.0,0.0,36.0,12147.0,severe learning difficulties
255,1,0.0,0.0,2.0,1557.0,provision
256,1,3.0,10.0,8.0,8521.0,day
257,1,7.0,16.0,3.0,5047.0,workload
258,1,2.0,0.0,2.0,621.0,equality
259,1,1.0,0.0,4.0,640.0,opera
260,3,1.0,0.0,5.0,1643.0,university
261,1,0.0,0.0,2.0,5240.0,Planning
262,1,0.0,1.0,3.0,7835.0,Judging the show jumping
263,1,0.0,0.0,4.0,1089.0,free school
264,1,0.0,2.0,2.0,2223.0,NGA
